preferred_label_esco,potential_entity_variants_dbpedia,class_label_dbpedia,entity_valid_variants_dbpedia,llm_formatted_entity,llm_expanded_class_label
genetic engineering,"['genetic_Engineering', 'Genetic_Engineering', 'genetic_engineering', 'Genetic_engineering']",['company'],['Genetic_engineering'],genetic engineering,company
food science,"['Food_Science', 'food_science', 'food_Science', 'Food_science']","['person function', 'work', 'person function']","['Food_Science', 'Food_science']",food science,person function
food science,"['Food_Science', 'food_science', 'food_Science', 'Food_science']","['person function', 'work', 'person function']","['Food_Science', 'Food_science']",food science,work
food science,"['Food_Science', 'food_science', 'food_Science', 'Food_science']","['person function', 'work', 'person function']","['Food_Science', 'Food_science']",food science,person function
green computing,"['green_Computing', 'Green_computing', 'green_computing', 'Green_Computing']",['book'],['Green_computing'],green computing,book
Adobe Illustrator,"['adobe_Illustrator', 'Adobe_Illustrator', 'adobe_illustrator', 'Adobe_illustrator']","['person', 'software', 'work']",['Adobe_Illustrator'],adobe illustrator,person
Adobe Illustrator,"['adobe_Illustrator', 'Adobe_Illustrator', 'adobe_illustrator', 'Adobe_illustrator']","['person', 'software', 'work']",['Adobe_Illustrator'],adobe illustrator,software
Adobe Illustrator,"['adobe_Illustrator', 'Adobe_Illustrator', 'adobe_illustrator', 'Adobe_illustrator']","['person', 'software', 'work']",['Adobe_Illustrator'],adobe illustrator,work
audio mastering,"['audio_mastering', 'Audio_Mastering', 'audio_Mastering', 'Audio_mastering']","['Election', 'person function']",['Audio_mastering'],audio mastering,Election
audio mastering,"['audio_mastering', 'Audio_Mastering', 'audio_Mastering', 'Audio_mastering']","['Election', 'person function']",['Audio_mastering'],audio mastering,person function
surveying,"['Surveying', 'surveying']","['topical concept', 'person function']",['Surveying'],surveying,topical concept
surveying,"['Surveying', 'surveying']","['topical concept', 'person function']",['Surveying'],surveying,person function
forensic anthropology,"['forensic_Anthropology', 'forensic_anthropology', 'Forensic_Anthropology', 'Forensic_anthropology']","['software', 'person function']",['Forensic_anthropology'],forensic anthropology,software
forensic anthropology,"['forensic_Anthropology', 'forensic_anthropology', 'Forensic_Anthropology', 'Forensic_anthropology']","['software', 'person function']",['Forensic_anthropology'],forensic anthropology,person function
textile industry,"['Textile_industry', 'textile_Industry', 'Textile_Industry', 'textile_industry']",['person function'],['Textile_industry'],textile industry,person function
biostatistics,"['biostatistics', 'Biostatistics']","['software', 'music genre']",['Biostatistics'],biostatistics,software
biostatistics,"['biostatistics', 'Biostatistics']","['software', 'music genre']",['Biostatistics'],biostatistics,music genre
Ajax Framework,"['Ajax_Framework', 'ajax_framework', 'Ajax_framework', 'ajax_Framework']","['software', 'music genre']",['Ajax_framework'],ajax framework,software
Ajax Framework,"['Ajax_Framework', 'ajax_framework', 'Ajax_framework', 'ajax_Framework']","['software', 'music genre']",['Ajax_framework'],ajax framework,music genre
surgery,"['Surgery', 'surgery']","['Food', 'person function']",['Surgery'],surgery,Food
surgery,"['Surgery', 'surgery']","['Food', 'person function']",['Surgery'],surgery,person function
Wireshark,"['Wireshark', 'wireshark']","['software', 'work']",['Wireshark'],wireshark,software
Wireshark,"['Wireshark', 'wireshark']","['software', 'work']",['Wireshark'],wireshark,work
mergers and acquisitions,"['Mergers_And_acquisitions', 'Mergers_and_acquisitions', 'mergers_And_Acquisitions', 'Mergers_and_Acquisitions', 'mergers_and_Acquisitions', 'mergers_And_acquisitions', 'mergers_and_acquisitions', 'Mergers_And_Acquisitions']",['person function'],['Mergers_and_acquisitions'],mergers and acquisitions,person function
ski,"['Ski', 'ski']",['comic strip'],['Ski'],ski,comic strip
international trade,"['international_trade', 'International_trade', 'international_Trade', 'International_Trade']",['company'],['International_trade'],international trade,company
fluid mechanics,"['Fluid_mechanics', 'Fluid_Mechanics', 'fluid_Mechanics', 'fluid_mechanics']",['organisation'],['Fluid_mechanics'],fluid mechanics,organisation
intubation,"['intubation', 'Intubation']",['anatomical structure'],['Intubation'],intubation,anatomical structure
cartography,"['Cartography', 'cartography']","['book', 'person function']",['Cartography'],cartography,book
cartography,"['Cartography', 'cartography']","['book', 'person function']",['Cartography'],cartography,person function
Windows Phone,"['windows_phone', 'Windows_Phone', 'windows_Phone', 'Windows_phone']","['software', 'work']",['Windows_Phone'],windows phone,software
Windows Phone,"['windows_phone', 'Windows_Phone', 'windows_Phone', 'Windows_phone']","['software', 'work']",['Windows_Phone'],windows phone,work
financial engineering,"['Financial_Engineering', 'Financial_engineering', 'financial_engineering', 'financial_Engineering']",['music genre'],['Financial_engineering'],financial engineering,music genre
energy,"['Energy', 'energy']","['building', 'music genre']",['Energy'],energy,building
energy,"['Energy', 'energy']","['building', 'music genre']",['Energy'],energy,music genre
ophthalmology,"['Ophthalmology', 'ophthalmology']","['medical specialty', 'organisation', 'person function']",['Ophthalmology'],ophthalmology,medical specialty
ophthalmology,"['Ophthalmology', 'ophthalmology']","['medical specialty', 'organisation', 'person function']",['Ophthalmology'],ophthalmology,organisation
ophthalmology,"['Ophthalmology', 'ophthalmology']","['medical specialty', 'organisation', 'person function']",['Ophthalmology'],ophthalmology,person function
supply chain management,"['Supply_chain_Management', 'supply_chain_management', 'supply_Chain_management', 'Supply_Chain_management', 'supply_chain_Management', 'Supply_chain_management', 'Supply_Chain_Management', 'supply_Chain_Management']","['company', 'music genre', 'music genre']","['Supply_chain_management', 'Supply_Chain_Management']",supply chain management,company
supply chain management,"['Supply_chain_Management', 'supply_chain_management', 'supply_Chain_management', 'Supply_Chain_management', 'supply_chain_Management', 'Supply_chain_management', 'Supply_Chain_Management', 'supply_Chain_Management']","['company', 'music genre', 'music genre']","['Supply_chain_management', 'Supply_Chain_Management']",supply chain management,music genre
supply chain management,"['Supply_chain_Management', 'supply_chain_management', 'supply_Chain_management', 'Supply_Chain_management', 'supply_chain_Management', 'Supply_chain_management', 'Supply_Chain_Management', 'supply_Chain_Management']","['company', 'music genre', 'music genre']","['Supply_chain_management', 'Supply_Chain_Management']",supply chain management,music genre
history of literature,"['history_of_literature', 'History_of_Literature', 'history_of_Literature', 'History_Of_Literature', 'history_Of_Literature', 'history_Of_literature', 'History_Of_literature', 'History_of_literature']",['person function'],['History_of_literature'],history of literature,person function
medical oncology,"['medical_Oncology', 'medical_oncology', 'Medical_oncology', 'Medical_Oncology']",['person function'],['Medical_oncology'],medical oncology,person function
logic,"['Logic', 'logic']","['organisation', 'music genre']",['Logic'],logic,organisation
logic,"['Logic', 'logic']","['organisation', 'music genre']",['Logic'],logic,music genre
family law,"['family_Law', 'Family_law', 'Family_Law', 'family_law']","['person function', 'place', 'person function']","['Family_law', 'Family_Law']",family law,person function
family law,"['family_Law', 'Family_law', 'Family_Law', 'family_law']","['person function', 'place', 'person function']","['Family_law', 'Family_Law']",family law,place
family law,"['family_Law', 'Family_law', 'Family_Law', 'family_law']","['person function', 'place', 'person function']","['Family_law', 'Family_Law']",family law,person function
industrial engineering,"['Industrial_Engineering', 'industrial_Engineering', 'industrial_engineering', 'Industrial_engineering']","['organisation', 'university', 'university']","['Industrial_Engineering', 'Industrial_engineering']",industrial engineering,organisation
industrial engineering,"['Industrial_Engineering', 'industrial_Engineering', 'industrial_engineering', 'Industrial_engineering']","['organisation', 'university', 'university']","['Industrial_Engineering', 'Industrial_engineering']",industrial engineering,university
industrial engineering,"['Industrial_Engineering', 'industrial_Engineering', 'industrial_engineering', 'Industrial_engineering']","['organisation', 'university', 'university']","['Industrial_Engineering', 'Industrial_engineering']",industrial engineering,university
hydraulic fracturing,"['hydraulic_fracturing', 'Hydraulic_fracturing', 'hydraulic_Fracturing', 'Hydraulic_Fracturing']",['topical concept'],['Hydraulic_fracturing'],hydraulic fracturing,topical concept
Oracle Warehouse Builder,"['Oracle_Warehouse_Builder', 'oracle_warehouse_Builder', 'Oracle_Warehouse_builder', 'oracle_Warehouse_Builder', 'oracle_Warehouse_builder', 'oracle_warehouse_builder', 'Oracle_warehouse_builder', 'Oracle_warehouse_Builder']",['software'],['Oracle_Warehouse_Builder'],oracle warehouse builder,software
viticulture,"['viticulture', 'Viticulture']","['work', 'music genre']",['Viticulture'],viticulture,work
viticulture,"['viticulture', 'Viticulture']","['work', 'music genre']",['Viticulture'],viticulture,music genre
forensic pathology,"['Forensic_pathology', 'Forensic_Pathology', 'forensic_pathology', 'forensic_Pathology']","['agent', 'person function']",['Forensic_pathology'],forensic pathology,agent
forensic pathology,"['Forensic_pathology', 'Forensic_Pathology', 'forensic_pathology', 'forensic_Pathology']","['agent', 'person function']",['Forensic_pathology'],forensic pathology,person function
immunohaematology,"['immunohaematology', 'Immunohaematology']",['organisation'],['Immunohaematology'],immunohaematology,organisation
Agile project management,"['agile_project_Management', 'agile_project_management', 'Agile_project_management', 'Agile_Project_management', 'Agile_Project_Management', 'Agile_project_Management', 'agile_Project_Management', 'agile_Project_management']",['music genre'],['Agile_Project_Management'],agile project management,music genre
gender studies,"['gender_Studies', 'Gender_Studies', 'Gender_studies', 'gender_studies']","['music genre', 'university']","['Gender_Studies', 'Gender_studies']",gender studies,music genre
gender studies,"['gender_Studies', 'Gender_Studies', 'Gender_studies', 'gender_studies']","['music genre', 'university']","['Gender_Studies', 'Gender_studies']",gender studies,university
consumer electronics,"['Consumer_Electronics', 'consumer_electronics', 'consumer_Electronics', 'Consumer_electronics']","['company', 'music genre']",['Consumer_electronics'],consumer electronics,company
consumer electronics,"['Consumer_Electronics', 'consumer_electronics', 'consumer_Electronics', 'Consumer_electronics']","['company', 'music genre']",['Consumer_electronics'],consumer electronics,music genre
theory of constraints,"['Theory_Of_Constraints', 'theory_of_constraints', 'theory_Of_Constraints', 'theory_Of_constraints', 'Theory_of_Constraints', 'Theory_Of_constraints', 'theory_of_Constraints', 'Theory_of_constraints']",['programming language'],['Theory_of_constraints'],theory of constraints,programming language
aesthetics,"['Aesthetics', 'aesthetics']","['book', 'music genre']",['Aesthetics'],aesthetics,book
aesthetics,"['Aesthetics', 'aesthetics']","['book', 'music genre']",['Aesthetics'],aesthetics,music genre
vocational rehabilitation,"['vocational_Rehabilitation', 'vocational_rehabilitation', 'Vocational_rehabilitation', 'Vocational_Rehabilitation']",['Election'],['Vocational_rehabilitation'],vocational rehabilitation,Election
entrepreneurship,"['entrepreneurship', 'Entrepreneurship']","['Election', 'person function']",['Entrepreneurship'],entrepreneurship,Election
entrepreneurship,"['entrepreneurship', 'Entrepreneurship']","['Election', 'person function']",['Entrepreneurship'],entrepreneurship,person function
intensive care medicine,"['Intensive_Care_medicine', 'Intensive_care_medicine', 'intensive_Care_medicine', 'intensive_care_medicine', 'Intensive_care_Medicine', 'intensive_care_Medicine', 'intensive_Care_Medicine', 'Intensive_Care_Medicine']","['medical specialty', 'organisation', 'person function']",['Intensive_care_medicine'],intensive care medicine,medical specialty
intensive care medicine,"['Intensive_Care_medicine', 'Intensive_care_medicine', 'intensive_Care_medicine', 'intensive_care_medicine', 'Intensive_care_Medicine', 'intensive_care_Medicine', 'intensive_Care_Medicine', 'Intensive_Care_Medicine']","['medical specialty', 'organisation', 'person function']",['Intensive_care_medicine'],intensive care medicine,organisation
intensive care medicine,"['Intensive_Care_medicine', 'Intensive_care_medicine', 'intensive_Care_medicine', 'intensive_care_medicine', 'Intensive_care_Medicine', 'intensive_care_Medicine', 'intensive_Care_Medicine', 'Intensive_Care_Medicine']","['medical specialty', 'organisation', 'person function']",['Intensive_care_medicine'],intensive care medicine,person function
fine-needle aspiration,"['fine-needle_Aspiration', 'fine-needle_aspiration', 'Fine-needle_aspiration', 'Fine-needle_Aspiration']",['anatomical structure'],['Fine-needle_aspiration'],fine-needle aspiration,anatomical structure
physics,"['physics', 'Physics']","['work', 'university']",['Physics'],physics,work
physics,"['physics', 'Physics']","['work', 'university']",['Physics'],physics,university
Ansible,"['Ansible', 'ansible']",['software'],['Ansible'],ansible,software
emergency medicine,"['Emergency_Medicine', 'Emergency_medicine', 'emergency_Medicine', 'emergency_medicine']","['person function', 'medical specialty', 'Food', 'person function']","['Emergency_Medicine', 'Emergency_medicine']",emergency medicine,person function
emergency medicine,"['Emergency_Medicine', 'Emergency_medicine', 'emergency_Medicine', 'emergency_medicine']","['person function', 'medical specialty', 'Food', 'person function']","['Emergency_Medicine', 'Emergency_medicine']",emergency medicine,medical specialty
emergency medicine,"['Emergency_Medicine', 'Emergency_medicine', 'emergency_Medicine', 'emergency_medicine']","['person function', 'medical specialty', 'Food', 'person function']","['Emergency_Medicine', 'Emergency_medicine']",emergency medicine,Food
emergency medicine,"['Emergency_Medicine', 'Emergency_medicine', 'emergency_Medicine', 'emergency_medicine']","['person function', 'medical specialty', 'Food', 'person function']","['Emergency_Medicine', 'Emergency_medicine']",emergency medicine,person function
botany,"['Botany', 'botany']","['work', 'person function']",['Botany'],botany,work
botany,"['Botany', 'botany']","['work', 'person function']",['Botany'],botany,person function
spiritualism,"['Spiritualism', 'spiritualism']","['organisation', 'person function']",['Spiritualism'],spiritualism,organisation
spiritualism,"['Spiritualism', 'spiritualism']","['organisation', 'person function']",['Spiritualism'],spiritualism,person function
thanatology,"['Thanatology', 'thanatology']",['book'],['Thanatology'],thanatology,book
foreclosure,"['Foreclosure', 'foreclosure']",['Election'],['Foreclosure'],foreclosure,Election
cavity optomechanics,"['cavity_optomechanics', 'Cavity_optomechanics', 'cavity_Optomechanics', 'Cavity_Optomechanics']",['organisation'],['Cavity_optomechanics'],cavity optomechanics,organisation
statistical process control,"['statistical_process_control', 'statistical_process_Control', 'Statistical_Process_Control', 'Statistical_Process_control', 'Statistical_process_Control', 'statistical_Process_control', 'Statistical_process_control', 'statistical_Process_Control']",['software'],['Statistical_process_control'],statistical process control,software
art collections,"['Art_Collections', 'Art_collections', 'art_collections', 'art_Collections']",['music genre'],['Art_collections'],art collections,music genre
